Epoch,loss,binary_accuracy,auc,true_positives,true_negatives,false_positives,false_negatives,val_loss,val_binary_accuracy,val_auc,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,freezed_layer
7,0.14348675310611725,0.9381873607635498,0.9874603152275085,2474.0,2474.0,163.0,163.0,0.44762444496154785,0.8333333134651184,0.9280877709388733,550.0,550.0,110.0,110.0,125
8,0.12082181125879288,0.9495639204978943,0.9909042716026306,2504.0,2504.0,133.0,133.0,0.3547546863555908,0.8666666746139526,0.9442768096923828,572.0,572.0,88.0,88.0,125
9,0.10590256750583649,0.9548729658126831,0.992743194103241,2518.0,2518.0,119.0,119.0,0.48096349835395813,0.8181818127632141,0.9091964960098267,540.0,540.0,120.0,120.0,125
0,0.5346344709396362,0.743648111820221,0.8152879476547241,1961.0,1961.0,676.0,676.0,0.5638622641563416,0.7151514887809753,0.8032920360565186,472.0,472.0,188.0,188.0,130
1,0.42866051197052,0.8005309104919434,0.8841421008110046,2111.0,2111.0,526.0,526.0,0.42461177706718445,0.7878788113594055,0.8842447996139526,520.0,520.0,140.0,140.0,130
2,0.3940836489200592,0.8138035535812378,0.9027010798454285,2146.0,2146.0,491.0,491.0,0.39399755001068115,0.8151515126228333,0.9028741717338562,538.0,538.0,122.0,122.0,130
3,0.37625110149383545,0.829351544380188,0.911716878414154,2187.0,2187.0,450.0,450.0,0.38189223408699036,0.8287878632545471,0.9090749025344849,547.0,547.0,113.0,113.0,130
4,0.37848517298698425,0.8308684229850769,0.910636842250824,2191.0,2191.0,446.0,446.0,0.377897709608078,0.821212112903595,0.9107529520988464,542.0,542.0,118.0,118.0,130
5,0.36609286069869995,0.8346605896949768,0.9169847369194031,2201.0,2201.0,436.0,436.0,0.36250147223472595,0.8287878632545471,0.9182208776473999,547.0,547.0,113.0,113.0,130
6,0.34631288051605225,0.8441410660743713,0.9260115027427673,2226.0,2226.0,411.0,411.0,0.3738221228122711,0.8242424130439758,0.9130796790122986,544.0,544.0,116.0,116.0,130
7,0.34903305768966675,0.8437618613243103,0.9241682887077332,2225.0,2225.0,412.0,412.0,0.3682367503643036,0.8303030133247375,0.9157885909080505,548.0,548.0,112.0,112.0,130
8,0.33129653334617615,0.8517254590988159,0.9323320388793945,2246.0,2246.0,391.0,391.0,0.377932071685791,0.8181818127632141,0.9121338129043579,540.0,540.0,120.0,120.0,130
9,0.32998552918434143,0.8464163541793823,0.9326276779174805,2232.0,2232.0,405.0,405.0,0.3697701394557953,0.8227272629737854,0.9151434898376465,543.0,543.0,117.0,117.0,130
